classes,accuracy
airplane+cow+sheep,0.75
airplane+cow+siren,0.7916666666666666
airplane+cow+sneezing,0.9166666666666666
airplane+cow+snoring,0.9375
airplane+cow+thunderstorm,0.8541666666666666
airplane+cow+toilet_flush,0.8541666666666666
airplane+cow+train,0.8333333333333334
airplane+cow+vacuum_cleaner,0.8958333333333334
airplane+cow+washing_machine,0.8125
airplane+cow+water_drops,0.9166666666666666
airplane+cow+wind,0.7916666666666666
airplane+crackling_fire+crickets,0.875
airplane+crackling_fire+crow,0.9583333333333334
airplane+crackling_fire+crying_baby,0.9583333333333334
airplane+crackling_fire+dog,0.9583333333333334
airplane+crackling_fire+door_wood_creaks,0.875
airplane+crackling_fire+door_wood_knock,0.9583333333333334
airplane+crackling_fire+drinking_sipping,0.9166666666666666
airplane+crackling_fire+engine,0.9583333333333334
airplane+crackling_fire+fireworks,0.875
airplane+crackling_fire+footsteps,0.875
airplane+crackling_fire+frog,0.875
airplane+crackling_fire+glass_breaking,0.9375
airplane+crackling_fire+hand_saw,0.9375
airplane+crackling_fire+helicopter,0.8333333333333334
airplane+crackling_fire+hen,0.9375
airplane+crackling_fire+insects,0.75
airplane+crackling_fire+keyboard_typing,0.9166666666666666
airplane+crackling_fire+laughing,0.9583333333333334
airplane+crackling_fire+mouse_click,0.7083333333333334
airplane+crackling_fire+pig,0.8541666666666666
airplane+crackling_fire+pouring_water,0.9375
airplane+crackling_fire+rain,0.7708333333333334
airplane+crackling_fire+rooster,0.9791666666666666
airplane+crackling_fire+sea_waves,0.8958333333333334
airplane+crackling_fire+sheep,0.875
airplane+crackling_fire+siren,0.8958333333333334
airplane+crackling_fire+sneezing,0.9166666666666666
airplane+crackling_fire+snoring,0.8333333333333334
airplane+crackling_fire+thunderstorm,0.8125
airplane+crackling_fire+toilet_flush,0.9791666666666666
airplane+crackling_fire+train,0.8541666666666666
airplane+crackling_fire+vacuum_cleaner,0.9375
airplane+crackling_fire+washing_machine,0.8333333333333334
airplane+crackling_fire+water_drops,0.6875
airplane+crackling_fire+wind,0.7916666666666666
airplane+crickets+crow,0.9166666666666666
airplane+crickets+crying_baby,0.9166666666666666
airplane+crickets+dog,0.9166666666666666
